name	statement	
 stranger	 Ikka cash ittal udan tirichu tarada	
 stranger	 5 k ille athadipichenkil edukan Patto ninku	
 mj	 😓 this month salary is 5k.	
Exam ezhudan pokunnonde leave aa.		
Adonde LOP pidichu		
 stranger	 🥺ohda	
 stranger	 KozhpmillDa	
 mj	 😟	
 stranger	 Da	
 mj	 Yes	
 stranger	 🥴	
 mj	 Today I talk to her🥰	
 stranger	 🥰	
 stranger	 Enittu	
 mj	 First time she ende aduthe talk me with care	
 mj	 ☺	
 mj	 Valare kurache neram	
Njan inne late aai aa collage il poye		
 stranger	 <Media omitted>	
 mj	 Vidi nammude kail allallo.	
Njan aagrahichade enne avale ariyanam. Chumma front il kidanne show kaanche sondakkeette endina. May be wrong person aairikkum.		
 mj	 🥰	
 stranger	 Athu correct	
 mj	 Namukke ulla aarayalum janichittundel thedi vannolum. 😌	
 stranger	 Athu correct da correct😕🥴nammala thedipidichangu ettikolm	
 mj	 Parachile Oru apagada 😅	
 stranger	 Oh athu thannede	
 mj	 Sheya appo terror aakuo	
 mj	 🙄	
 stranger	 😂😂😂🥴illa illaeeee	
 mj	 Aanel kuzhappamilla. Monster need a terror lady🦹🏻‍♂	
 stranger	 😂😂😂😂🤣athupolichu	
 mj	 🤭	
 mj	 🥰	
 stranger	 ❤	
 mj	 What happened to her?	
 stranger	 🤪poda	
 mj	 Eh??🙄	
 stranger	 Da oru 1k inda  edukan mattanl taram atyavsha atha	
 stranger	 😬	
 mj	 😅 sorry di ee month njan tight ila LOP 😓	
 stranger	 😬	
 stranger	 No problem da	
 mj	 😓	
 stranger	 Nthda	
 stranger	 Vidra	
 stranger	 Cash set ayi eniki	
 mj	 🙂👍🏻	
 mj	 Endina kidanne uranganana	
 stranger	 Evan poliyatta	
 stranger	 😂😂😂	
 mj	 😁	
 stranger	 😂	
 mj	 🙄	
 stranger	 Da	
 stranger	 Ninte lap inda	
 mj	 Pani purel aa	
Keyboard poi		
 stranger	 😂😂😂😂🤣	
 mj	 Ennathina🙄	
 stranger	 Allada oru data entry vannu athu chythunokanarnu😬	
 mj	 Nee anne medichille	
 stranger	 😞illada athu kittela	
 mj	 Sheya	
 mj	 Appo pazheyada	
 stranger	 Vediknm BT credit card illada	
 stranger	 No da athoke poyi 	
System arnu		
 stranger	 Ninaku credit card indoda	
 mj	 Credit card vendallo ippo🤔	
 stranger	 Pinn	
 stranger	 Pine	
 stranger	 Enikenngnelm oru lap atyavashada	
 stranger	 Ready cashillipo kodukan	
 stranger	 Ikka nattil varan nikuva vacation 	
Next month so		
 stranger	 Monthly payment Nokan parnju	
 stranger	 Da enikonedukana paranjuta	
 stranger	 Nthu chyanonu	
 mj	 Eh 🙄	
 mj	 Endu paranju tharan?	
 stranger	 <Media omitted>	
 mj	 Flip cart il pattum de. Pakshe nee back il poi parayanam	
 stranger	 🙄backila	
 stranger	 Oh bank ana udheshiche	
 mj	 Yes	
 stranger	 <Media omitted>	
 stranger	 <Media omitted>	
 stranger	 <Media omitted>	
 mj	 SBI pattum enna paranju kette	
 mj	 Adarsh Mohan kooduthal ariyamairikkum onne thirakki nokke	
 stranger	 Hibi	
 stranger	 Hihi	
 stranger	 Okda	
 mj	 Aa pink nee aana 🧐	
 stranger	 Ahda😃🤣	
 mj	 😌	
 stranger	 So you have to follow the next few steps 	
1) Send me a picture of you.		
2) Put the status same as mine. (Drop a 😊 . I'll write something about you)		
(If not, I won't do anything; it's about celebrating people in our life.. Often we appreciate people in our life either for purpose, for formality etc etc but often we forget to appreciate them unconditionally.. 		
This is one initiative for this..		
3) Once you're done I'll post the picture you sent with what I promised to do as the caption.		
This is all about celebrating, appreciating and loving each other. 😊		
Let's do this... 💐		
 mj	 Aaha do much formally	
 stranger	 🥰	
 stranger	 Ni CLG pokuvo inu	
 mj	 Chilappo	
 mj	 Nee pona?	
 stranger	 Njum	
 stranger	 Va	
 mj	 Nee eppo varum	
 stranger	 1 manikakam	
 stranger	 Niya	
 mj	 Eppo pokum	
 mj	 Njan Oru 3	
 stranger	 ❤	
 mj	 Nee ethiya?	
 stranger	 Ohda	
 mj	 Aaha	
 mj	 🥺	
 stranger	 🤣🤣🥴	
 mj	 Mohikkan pokalle 😶	
 stranger	 🤭	
 mj	 Endadi 🙄 nannai koode🤭	
 stranger	 😄😄😄🤣🥴	
 mj	 Congrats😁	
 stranger	 😇	
 mj	 Hws u	
 stranger	 Gud da	
 stranger	 And u	
 mj	 Amazing	
 stranger	 Nta alloh oru rakshyumilla	
Apara stamina🥰❤🥺		
 mj	 Fitness love❤	
Immadiri vattulla oru pennine kettanam		
 stranger	 🤭🥺🥺🥺🥺	
 stranger	 Nkil polikm ni karate alle pinnenthvnm❤	
 mj	 ❤	
 stranger	 Da	
 stranger	 Oru 1k inde  ido Thursday mrng sndam	
 mj	 Kittyio?	
 stranger	 Ninte inda	
 stranger	 Illada	
 mj	 Month last okke tight aairikkum. Emergency aanel marikkam	
 stranger	 Kozhpmillada	
 stranger	 Njn vere nokkam	
 stranger	 Kittille paraaym	
 mj	 Ok	
 stranger	 Da ninku marikan patto bt monday munne akum cash set akan	
 stranger	 😕	
 mj	 Marikano😳	
 stranger	 Ahda	
 mj	 Dead😳	
 mj	 Oh marikkan 🤭	
Sorry de eppo venam ninakke		
 stranger	 Inu	
 mj	 Ok ayachu	
 stranger	 Tqs da	
 mj	 🙂	
 stranger	 Da	
 stranger	 Cash ittittubde	
 mj	 Kitty thank you	
 stranger	 🤭	
 stranger	 Ahda	
 mj	 🤭	
 stranger	 Evda	
 mj	 Work ila	
 stranger	 Gud	
 stranger	 Da	
 mj	 Yes	
 stranger	 ❤	
 mj	 Audi	
 stranger	 🤣🤣🤣🤣🤣🤩😵	
 stranger	 Da	
 stranger	 Ninte oru 1k kano	
 stranger	 Taran IPO 5 days akm njn taram da	
 mj	 Illa di.	
Bus inda Paisa maatre kail ullu. Little expensive month		
 stranger	 No problm da	
 stranger	 Ninekenthada	
 mj	 Ariyilla	
 mj	 🤠	
 stranger	 🤭	
 stranger	 😋	
 mj	 🥰	
 stranger	 🥺	
 mj	 🥺	
 stranger	 Ni ah backil nilkunavan alleda	
 stranger	 Ithevda	
 mj	 Ofcorse🤓	
 mj	 Wonderlaa	
 mj	 Oorma unda😍	
 mj	 Balarama cave wonder splash	
IV		
 stranger	 ❤❤❤🥰aoozha karithi	
 stranger	 Pinille ore poli arnu	
 stranger	 Ni illonda njn matte payankara height Poya sadhanttil oke keriya	
 stranger	 Etho 4O building pokkattil ittille athu	
 stranger	 Wonder entho name	
 stranger	 BT ellam kidilarnuda	
 stranger	 Miss those days nd miss u	
 stranger	 🙁	
 stranger	 ❤	
 mj	 😌 miss you too ❤	
Ellam oru memory aai.		
Avideyokke nadannapoo idellam oorma vannu.		
Motham nostu aairunne😊		
 stranger	 Ano🙁	
 stranger	 Orkumbo thanna mansil payankara  sad feel🙁🙁🙁😓	
 stranger	 Can't replace those moments	
 mj	 Why it so good. Beautiful memories❤	
 mj	 Ade 😌	
 stranger	 ❤	
 mj	 Colleague inda kalyana. Angana vannada	
 stranger	 Athu pole thanna after long break nammal  college avda vachu kmde and mazha nanaju Arabian cafe  nokithum atleast ninta chilavile bake worldinu ulla lunchim	
 stranger	 ❤❤❤😂	
 stranger	 BT eniku taran pattilla tirichu athu miss ayi poyi	
 stranger	 🙁	
 mj	 😊	
 mj	 BT?😅	
 stranger	 🤭	
 mj	 Manasilailla??	
 mj	 🤔	
 stranger	 Enikm	
 stranger	 I mean	
 stranger	 Treat chyyn pattillanu	
 mj	 🤔	
 mj	 Ende treat?	
 stranger	 Nta chilavil ninku lunch taran pattillanu🙁	
 mj	 Ado 🙂	
 mj	 Nee poyallo😄	
 stranger	 Ni avda thanna ille	
 stranger	 Maybe njn next week irangum college vannl sure ninna call chym	
 mj	 😊 ok	
 stranger	 😂	
 mj	 😄	
 mj	 Deep	
 stranger	 ❤	
 mj	 Ninakke cooking ariyo?	
 stranger	 Oh sht single pasanka	
 mj	 🤷🏻‍♂	
 mj	 To be considered🙄👍🏻	
 stranger	 😂	
 mj	 And that's YinYang	
 stranger	 😂	
 mj	 Photo poss cheyyan ninna kazhinjitte ulle vere aarum😅	
 stranger	 😂😂😂😂	
 stranger	 Pinalla	
 mj	 Ninda design aano	
 stranger	 Yaya	
 mj	 Nee ippo 👗 designing aano?	
 stranger	 Angnonulla	
 stranger	 Swanthamayi ttu 	
Chyumda		
 stranger	 Apo ishtapedttittu	
 stranger	 Arelm pareanenkil	
 stranger	 Avrkm chythu kodukm😇🙊	
 mj	 Nalla kaaryam☺	
 stranger	 ❤	
 mj	 Ninakke vattano. Itta post inda aakkam manasilakkke.	
 stranger	 🙄	
 stranger	 Nthuada	
 stranger	 Da	
 stranger	 Oru 550 Indel  ta	
 stranger	 Tuesday taram	
 stranger	 🙊	
 mj	 Christmas okke nalla chilave a de tight aanu	
Sorry account kaali aanu😢		
 stranger	 🙊	
 stranger	 Kozhpmilla da	
 stranger	 ❤	
 stranger	 ❤	
 mj	 Miss aai poi ennu karudiya paladum pokki edukkuva	
 stranger	 🤫	
 stranger	 🤭	
 mj	 👹	
 stranger	 ❤	
 mj	 😇	
 mj	 😎	
 stranger	 🤭	
 mj	 Lonely	
 stranger	 🤫	
 mj	 No one care about you	
 mj	 Sad	
 stranger	 🤣	
 mj	 No, I know exactly how much strong I am	
 stranger	 🙏🏻🤦🏻‍♀	
 stranger	 Nta ponne	
 mj	 🙄	
 stranger	 🤭	
 stranger	 😑	
 mj	 🙂	
 mj	 Idum ittonde evida chadi pokana	
 stranger	 🤣🤣🤣podey	
 mj	 Jumpsuit 🤔	
 stranger	 Ithu +2 pillerku grp dress code set aki kodutteya	
 mj	 Olichodano ado acrobatic?	
 stranger	 Yup	
 stranger	 😩	
 mj	 Kanditte angna aananne thonnunnillallo	
 mj	 Ide ende kanditta aa pere itte?	
 stranger	 <Media omitted>	
 mj	 Jumpsuit njan karudi chadi pokan vendi ulla sadana aananna	
 stranger	 😤🤦🏻‍♀🤷🏻‍♀	
 mj	 Acrobatics kaarokke use cheyathille ade	
 stranger	 Onupoda pulle	
 stranger	 🤣🤣🤣	
 mj	 Njan kandittilla ee sadanam	
 mj	 🙆🏻‍♂	
 stranger	 Ana	
 mj	 😓	
 stranger	 <Media omitted>	
 mj	 Jumpsuit enda prathekatha	
 mj	 Paradeda vere version aana?	
 stranger	 🤦🏻‍♀	
 stranger	 Onupoda	
 mj	 🤷🏻‍♂️	
I have 0 knowledge in female dress😁 sorry dear		
 stranger	 Athanu 	
Njn nth paranjlm ninku manasilakattumilla🤣		
 mj	 🧔🏻	
 stranger	 🤣🤣🤣🤣	
 mj	 True right 🤷🏻‍♂️	
 stranger	 🤣	
 mj	 Grow up girl 🥴	
 stranger	 🤣🤭	
 mj	 Ninda business okke engana ponu	
 mj	 🤷🏻‍♂️	
 stranger	 Alhamdulillah going gud da	
 mj	 😌🙌🏻	
 stranger	 ❤	
 mj	 ☺	
 stranger	 Poli	
 mj	 ☺	
 mj	 Edava🧐	
 stranger	 🤷🏻‍♀yaya	
 stranger	 Nthe	
 stranger	 Nta customers	
 mj	 Ende naattukaranallo	
 mj	 Ivideyokke business vyapipichu alle🥰	
 stranger	 ❤	
 stranger	 Yada	
 mj	 😍	
 stranger	 🥰	
